지점,일시,평균 풍속(m/s),평균기압(hPa),평균 상대습도(%),평균 기온(°C),평균 수온(°C),평균 최대 파고(m),평균 유의 파고(m),최고 유의 파고(m),최고 최대 파고(m),평균 파주기(sec),최고 파주기(sec)
22103,2013-01-01,6.8,1020.6,61,6.2,13.9,2.1,1.4,2.1,3.2,5.5,7.1
22103,2013-01-02,9.6,1026.8,58,4.2,13.8,2.3,1.5,2,3,4.5,6.4
22103,2013-01-03,,1034.6,59,-1.6,13.1,,,1.9,2.8,,4.9
22103,2013-01-04,5.2,1029.4,47,-.4,11.8,1.5,.9,1.5,2.4,4.3,5.8
22103,2013-01-05,7.3,1024.8,54,1.5,11.3,1.4,1,1.5,2.2,3.9,8
22103,2013-01-06,6,1024.1,54,2.7,12.3,1.4,.9,1.3,2,3.3,4.3
22103,2013-01-07,5.4,1022.5,44,2.8,10.8,1.2,.8,1,1.6,2.8,4
22103,2013-01-08,6,1022.3,46,3.8,11.8,1.4,.9,1.2,1.8,3.5,4.3
22103,2013-01-09,10.3,1024.9,56,.9,11.4,2.1,1.4,1.8,2.7,4.1,4.6
22103,2013-01-10,7.6,1028.5,54,.1,11.2,1.7,1.1,1.5,2.6,3.7,4.3
22103,2013-01-11,2.3,1028.6,59,3.3,11.7,.9,.6,.8,1.2,4.2,7.1
22103,2013-01-12,4.8,1025.2,58,7.7,12.6,1.1,.7,1,1.4,2.6,7.1
22103,2013-01-13,7.5,1021.2,60,7.8,12.6,1.4,1,1.5,2.1,3.9,5.8
22103,2013-01-14,9.5,1017.9,53,6.5,11.4,2.1,1.4,1.8,2.7,5.4,7.1
22103,2013-01-15,4.5,1024,70,5.5,11.6,1.3,.9,1.2,2,5.1,9.1
22103,2013-01-16,8.4,1023.2,66,5.3,11.8,1.7,1.2,1.7,2.7,3.5,9.1
22103,2013-01-17,12.1,1026.4,61,1.7,10.1,2.6,1.7,2,3.3,4.5,4.9
22103,2013-01-18,8.5,1029.7,57,2.1,10.2,2,1.3,1.9,2.9,3.7,5.8
22103,2013-01-19,6.9,1029.6,58,4.5,11,1.5,1,1.2,2,3.1,4.3
22103,2013-01-20,,1030.1,63,7.4,10.9,,,1,1.7,,4.3
22103,2013-01-21,7.4,1019.8,84,10.1,11.3,3,1.9,2.8,5.6,5.7,7.1
22103,2013-01-22,8.3,,77,6.8,12.4,2.2,1.4,2.1,3.2,5.6,7.1
22103,2013-01-23,,1019,75,6.1,13.7,,,1.6,2.6,,8
22103,2013-01-24,,1017.5,66,6,13.7,,,2.1,3,,5.8
22103,2013-01-25,10.7,1021.2,59,1.5,11.5,2.3,1.5,2.1,3.7,4.4,5.3
22103,2013-01-26,8.7,,62,.5,10.7,1.8,1.2,1.5,2.1,3.7,4.6
22103,2013-01-27,11.1,1025.1,62,1.1,11.3,2.3,1.5,1.8,3,4.4,5.3
22103,2013-01-28,7.2,1027.2,60,3.2,10.4,1.6,1.1,1.5,2.1,4.2,10.7
22103,2013-01-29,,1027,65,7.5,11.4,,,.6,1.1,,10.7
22103,2013-01-30,,1029.8,71,9.3,10.1,,,.6,.9,,8
22103,2013-01-31,5.4,1028.7,74,11.6,11,1.3,.9,1.6,2.2,3.8,4.9
22103,2013-02-01,9.8,1019.5,87,13.1,12.7,4.1,2.7,3.6,6.3,7.3,9.1
22103,2013-02-02,9.7,1024.8,57,6.8,12.3,2.4,1.6,2.1,3.4,5.9,9.1
22103,2013-02-03,5.3,1023.4,62,7.7,11.3,1.3,.9,1.2,1.8,3.5,8
22103,2013-02-04,7.1,1017.3,79,8.5,12.9,2.1,1.4,1.8,2.9,4.8,5.8
22103,2013-02-05,8.6,1018.3,78,8.1,13,2.2,1.4,1.8,3.2,4.7,6.4
22103,2013-02-06,10.6,1017.7,73,4.7,12.9,2.4,1.5,1.6,2.9,4.5,6.4
22103,2013-02-07,11.2,1023.1,63,-.2,12.4,2.4,1.6,1.9,3.1,4.5,5.3
22103,2013-02-08,6.9,1029.3,60,-3.6,9.3,1.9,1.2,1.9,2.9,4.6,7.1
22103,2013-02-09,,,,,,,,1.4,2.1,,4.3
22103,2013-02-10,7.4,1025.8,61,3.3,11.7,1.5,1,1.2,1.9,3.2,4.3
22103,2013-02-11,5.5,1028.7,50,2.9,12.4,1.2,.8,1.3,2,3.9,5.3
22103,2013-02-12,7.1,1024.1,66,5.4,12.3,1.5,1,1.6,2.3,3.7,4.6
22103,2013-02-13,4,1027,50,3.2,13.4,1.3,.8,1.4,2.2,4.7,7.1
22103,2013-02-14,1.6,1023.5,53,6,13.2,.8,.5,.6,1,6.7,9.1
22103,2013-02-15,9.2,1021.1,49,5.9,13,1.7,1.2,1.7,2.4,3.9,8
22103,2013-02-16,7.5,1026.7,46,2.8,12.7,1.8,1.1,1.7,2.6,4.7,8
22103,2013-02-17,6.4,1019.4,72,8.9,12.5,1.5,1,1.5,2.5,3.9,4.9
22103,2013-02-18,6.7,1014.8,73,7.4,12.6,2.3,1.5,1.8,2.8,6.6,8
22103,2013-02-19,9.7,1021.6,55,3,12,2.1,1.4,1.9,2.9,4.9,9.1
22103,2013-02-20,7.7,1027.8,49,2.2,11.7,1.7,1.1,1.6,2.4,3.6,4.3
22103,2013-02-21,6.1,1029.3,48,4.7,11.2,1.2,.8,1.3,1.8,2.8,3.8
22103,2013-02-22,6.9,1027.3,45,6.7,11.7,1.3,.9,1.4,2.1,3.2,4.6
22103,2013-02-23,9.2,1028.3,47,3.6,11,1.8,1.2,1.5,2.3,3.5,4.3
22103,2013-02-24,4.5,1029.8,46,5.2,11,1.2,.8,1.4,1.9,4.8,8
22103,2013-02-25,2.8,1027.8,46,8.6,11.7,.8,.5,.6,1.1,6.8,10.7
22103,2013-02-26,6.3,1019.6,71,9.6,12,1.4,1,1.2,1.9,4.4,9.1
22103,2013-02-27,5.7,1017.3,66,9.5,13.6,1.6,1,1.2,1.9,6.9,9.1
22103,2013-02-28,5.8,1016.7,63,12.8,14.5,1.3,.9,1.1,1.9,4.5,8
22103,2013-03-01,11.2,1014.2,71,7.8,13.6,2.6,1.7,2.1,3.2,5,6.4
22103,2013-03-02,10.1,1023.8,57,3.7,11.9,2.3,1.5,2.1,3.3,4.4,5.3
22103,2013-03-03,6.9,1022.9,57,4.5,11.2,1.7,1.1,1.4,2.3,4.3,10.7
22103,2013-03-04,7.9,,55,8.1,11,1.8,1.2,1.4,2.2,3.8,5.3
22103,2013-03-05,6.1,1025.3,51,7.7,10.9,1.3,.8,1.1,1.8,2.7,3.6
22103,2013-03-06,3.9,1022.2,70,11.3,11.2,1.2,.8,1.2,2.2,3.4,4.9
22103,2013-03-07,8.5,1014.2,75,12.9,12,2.8,1.8,2.4,3.4,6.2,7.1
22103,2013-03-08,6.8,1011.1,76,12.5,12.3,2.1,1.3,1.7,2.8,5.5,7.1
22103,2013-03-09,5.8,1010.3,80,14,12.3,2.1,1.3,2.2,4.1,5.4,6.4
22103,2013-03-10,9.3,1016.1,56,9.5,11.9,2.7,1.7,2.4,3.8,5.4,7.1
22103,2013-03-11,6.6,1022.9,62,8.5,11.5,1.7,1.1,1.5,2.5,4.7,5.8
22103,2013-03-12,4.2,1016.8,77,12.3,13.7,1.3,.8,1.1,1.9,3.9,6.4
22103,2013-03-13,9.5,1012.3,79,9.6,12.1,2.7,1.8,2.1,3.5,5.2,6.4
22103,2013-03-14,7.4,1025.7,65,8,12.6,2.3,1.5,2,3.7,6.1,7.1
22103,2013-03-15,4.4,1025.4,63,8.8,12.8,1.2,.8,1,1.6,4.1,6.4
22103,2013-03-16,5.8,1023.2,53,10.1,11.8,1.2,.8,1,1.5,2.6,3.8
22103,2013-03-17,5.5,1014.3,77,12.8,12.7,1.5,.9,2,4,3.7,8
22103,2013-03-18,9,1005.5,85,11.2,12.6,3.7,2.4,3.3,5.2,7.8,9.1
22103,2013-03-19,5,1012.5,82,12.5,12.6,2,1.3,1.8,2.8,7.3,8
22103,2013-03-20,7.7,1011,72,9.2,12.1,2.1,1.4,2.1,3.8,5.6,7.1
22103,2013-03-21,5.4,1017.8,51,4.4,11.4,1.5,1,1.4,2.3,5.6,9.1
22103,2013-03-22,5,1012.6,72,9.4,11.9,1.3,.8,1.2,1.9,4.1,9.1
22103,2013-03-23,4.5,1014.7,69,9,11.9,1.2,.8,1.3,2,4.1,6.4
22103,2013-03-24,6.6,1011.4,66,9.2,11.9,1.4,.9,1.7,2.3,3.4,5.8
22103,2013-03-25,10.2,1016.2,57,6,11.1,2.2,1.5,1.7,2.5,4.4,4.9
22103,2013-03-26,5.4,1020.2,64,8.7,10.8,1.4,.9,1.1,1.9,3.8,4.9
22103,2013-03-27,2.9,1016.1,76,11.2,12.2,.8,.5,.7,1,3.4,5.3
22103,2013-03-28,6,,60,11.4,12,1.2,.7,1.1,1.7,3.4,8
22103,2013-03-29,6.6,1018,56,9.6,12.7,1.4,.9,1.3,1.8,3.5,4.9
22103,2013-03-30,,1020.4,70,10.7,12.2,,,.9,1.6,,5.3
22103,2013-03-31,5,,,,,1.1,.7,1,1.7,3.4,4.6
22103,2013-04-01,6,1020,64,12.4,13,1.9,1.2,1.5,3.6,5.3,6.4
22103,2013-04-02,9,1013.4,72,9.6,12.9,2,1.3,1.9,3,4,4.9
22103,2013-04-03,7.9,1015.7,67,9.6,12.8,1.8,1.2,1.5,2.2,3.9,6.4
22103,2013-04-04,4.2,1016.2,65,12.2,12.7,1,.7,.9,1.4,3.1,4.9
22103,2013-04-05,7.3,1012.7,85,13.1,12.8,1.8,1.1,1.3,2.1,5,5.8
22103,2013-04-06,12.6,997.6,83,9.9,12.6,3.5,2.1,3,5.2,6.9,9.1
22103,2013-04-07,12.4,1007.5,61,6.6,11.9,3.2,2,2.7,4.7,5.6,8
22103,2013-04-08,6.7,1014.8,55,9.8,12.8,1.6,1,1.4,2.2,5.4,10.7
22103,2013-04-09,9,1016.8,48,10.3,12.5,2,1.3,1.6,2.6,4.1,5.3
22103,2013-04-10,9.3,1020,55,7.2,12.6,2,1.3,1.6,2.8,3.8,4.9
22103,2013-04-11,8.9,1018.8,47,10.1,12.9,1.9,1.3,1.7,2.6,4.2,5.8
22103,2013-04-12,6.9,1019.2,51,10,13.2,1.5,1,1.2,1.8,3.8,4.9
22103,2013-04-13,7.2,1016.2,53,12.8,13.4,1.8,1.2,2.4,4.3,3.8,6.4
22103,2013-04-14,8,1009.1,66,13.6,13.1,3.1,2,2.8,4.6,6.3,7.1
22103,2013-04-15,4.6,1010.4,61,11.8,13.4,1.7,1,1.6,2.9,4.7,5.8
22103,2013-04-16,5.9,1007.6,87,15.3,13.3,2.7,1.7,2.2,3.7,5.8,6.4
22103,2013-04-17,7,1008.2,89,13,12.8,2.4,1.5,1.9,3.5,5.8,6.4
22103,2013-04-18,5.5,1010.9,76,12.5,12.8,1.8,1.2,1.9,2.9,4.8,7.1
22103,2013-04-19,8.7,1016.8,63,10.9,12.4,2.5,1.7,2.3,4,6.3,8
22103,2013-04-20,7.5,1014.8,73,9.1,11.7,2,1.3,1.9,2.9,6,7.1
22103,2013-04-21,6.4,1018,59,10,11.4,1.6,1,1.3,2.1,3.5,5.3
22103,2013-04-22,3.9,1022.3,60,11.9,12.2,1,.7,1.1,1.7,3.6,5.8
22103,2013-04-23,7.3,1014.4,84,14,12.9,2.8,1.8,3.1,5,5.5,8
22103,2013-04-24,8,1009.9,83,12.2,12.9,3.2,2.1,3.4,4.5,8.2,9.1
22103,2013-04-25,7.5,1010.4,81,11.4,13.2,1.9,1.2,1.5,2.6,5,8
22103,2013-04-26,8,1012.9,60,12.5,12.4,1.9,1.2,1.5,2.4,4.3,5.3
22103,2013-04-27,3.6,1017.3,66,13.6,13.3,1,.6,1,1.5,3.8,6.4
22103,2013-04-28,4.2,1018.8,82,15,14,1.5,1,1.4,2.1,4.1,4.9
22103,2013-04-29,5.7,1014.2,87,15.3,14.2,1.6,1.1,1.4,2.2,4.6,5.8
22103,2013-04-30,3.6,1010.8,64,14.1,13.8,1.2,.7,1,1.6,5.2,6.4
22103,2013-05-01,6.2,1010.1,65,12.3,14,1.6,1.1,1.4,2.1,5,7.1
22103,2013-05-02,4.5,1013.5,71,13,14.2,1.5,.9,1.2,2,5,10.7
22103,2013-05-03,4,1015.9,69,13.6,14.1,1,.7,1,1.4,3.7,8
22103,2013-05-04,5,1019.1,70,13.6,13.8,1,.6,.9,1.3,3.2,8
22103,2013-05-05,4.2,1020.3,73,14.1,14,.8,.5,.8,1.2,2.9,4.3
22103,2013-05-06,6.7,1017,68,14.4,13.9,1.3,.9,1.4,3.3,3.5,4.9
22103,2013-05-07,8.6,1020.1,80,13.7,13.4,2.5,1.6,2.1,3.3,5.7,7.1
22103,2013-05-08,5,1020,83,13.6,13.8,1.6,1,1.3,2.4,5.3,7.1
22103,2013-05-09,4.2,1014.4,88,15.5,14.2,1.1,.7,1.5,2.2,4.7,9.1
22103,2013-05-10,7.6,1004.3,90,14.5,13.9,2.9,1.8,2.5,4.2,7.1,8
22103,2013-05-11,5.4,1006.1,88,13.9,14.1,1.5,1,1.4,2.2,7,8
22103,2013-05-12,2.7,1009.2,92,15,14.7,1.2,.8,1,1.6,4,7.1
22103,2013-05-13,1.6,1012.4,83,16.5,15.5,1.1,.7,1.1,1.7,4.1,6.4
22103,2013-05-14,1.9,1012.9,91,16.7,15.8,.7,.5,.8,1.3,4.3,7.1
22103,2013-05-15,1.8,1012.8,91,17.5,16.9,.9,.6,.8,1.1,4.7,5.8
22103,2013-05-16,12.6,1016.3,82,14.3,14.5,3.1,2.1,2.5,4.2,6.4,8
22103,2013-05-17,9.7,1015.9,80,14.6,14.6,3,1.9,2.8,4.4,6.4,7.1
22103,2013-05-18,5.8,1010,88,15.6,15.9,1.7,1.1,1.3,2,6.8,8
22103,2013-05-19,7.9,998.9,91,15.5,14.9,2.7,1.7,2.3,3.6,6.6,9.1
22103,2013-05-20,6.1,1004.3,88,14.7,14.8,1.5,1,1.2,1.8,4.2,7.1
22103,2013-05-21,2,1008.2,83,16,15.8,.8,.5,.8,1.2,4.9,8
22103,2013-05-22,2.4,1011.4,90,16.1,16.2,.7,.5,.6,1,4.4,8
22103,2013-05-23,2.2,1013.4,87,17.3,16.5,.6,.3,.4,.7,5.4,8
22103,2013-05-24,2.5,1013.6,88,17.3,17.1,.6,.4,.5,.7,4.2,8
22103,2013-05-25,2.3,1014.9,88,17.6,17,.7,.5,.7,.9,5,8
22103,2013-05-26,4.7,1016.5,94,17.1,16.4,1.3,.8,1.1,1.7,5.3,7.1
22103,2013-05-27,,1009.6,86,19,16,,,3.3,5.2,,9.1
22103,2013-05-28,,1006.6,93,17.8,16,,,3.1,4.9,,9.1
22103,2013-05-29,4.9,1010.6,92,15.9,15.6,2,1.3,2,3,6.7,7.1
22103,2013-05-30,2.9,1012.5,86,16.2,15.8,1.1,.7,1,1.8,6.2,9.1
22103,2013-05-31,1.9,1010,89,16.4,16.3,.6,.4,.6,.8,5.6,8
22103,2013-06-01,,1007.2,85,16.3,16.1,,,.5,.7,,8
22103,2013-06-02,,1007.2,87,16.9,16.2,,,1.3,1.7,,9.1
22103,2013-06-03,,,85,16.6,15.8,,,1.1,1.7,,5.8
22103,2013-06-04,2.6,1016.5,88,17.2,16.7,1.1,.7,.9,1.5,4.4,5.3
22103,2013-06-05,1.5,1017.2,93,17,16.9,.8,.5,.7,1.1,5.4,8
22103,2013-06-06,,1015.1,92,17.1,16.4,,,1,1.3,,5.8
22103,2013-06-07,,1012.8,89,18.2,18.1,,,1.2,1.8,,5.8
22103,2013-06-08,,,88,18.7,18.1,,,2,3.4,,6.4
22103,2013-06-09,,1005.5,88,19.2,18.8,,,2.9,4.6,,9.1
22103,2013-06-10,,1005.8,86,19.3,19.1,,,2.1,3.4,,7.1
22103,2013-06-11,,,90,19.3,18.9,,,1.9,3.1,,6.4
22103,2013-06-12,,1008.7,93,19,19.1,,,1.4,2.2,,10.7
22103,2013-06-13,2.5,,,,,,,.9,1.3,,9.1
22103,2013-06-14,3.1,1013.4,94,19.9,19.5,.8,.5,.7,1.2,5,8
22103,2013-06-15,2.2,1011.7,91,20.5,21.3,.8,.5,.7,1,3.9,7.1
22103,2013-06-16,3.6,1008.4,92,20,20.4,.7,.5,.7,1,5.6,9.1
22103,2013-06-17,3.7,1003.8,93,20.5,20.9,.9,.6,.7,1.2,4.4,8
22103,2013-06-18,6.6,998.8,95,20.8,19.8,1.6,1.1,1.6,2.7,4.1,5.3
22103,2013-06-19,5.2,1000.8,95,20.1,19,2.6,1.8,2.1,3.3,6.4,7.1
22103,2013-06-20,3.6,1005.3,93,19.7,19.1,1.6,1,1.2,2,6.7,10.7
22103,2013-06-21,3.3,1006.3,92,19.7,19.3,3,2,3,4.2,10,10.7
22103,2013-06-22,.7,1008.1,93,19.6,19.1,1.6,1.1,1.7,2.4,7.6,9.1
