지점,일시,평균 풍속(m/s),평균기압(hPa),평균 상대습도(%),평균 기온(°C),평균 수온(°C),평균 최대 파고(m),평균 유의 파고(m),최고 유의 파고(m),최고 최대 파고(m),평균 파주기(sec),최고 파주기(sec)
22103,1998-01-08,11.3,1013.4,71,9.2,14.3,3.3,1.1,1.7,5.3,17.6,75
22103,1998-01-09,5,1025.9,73,9.1,14.7,1.7,.6,.8,2.6,10.1,11.8
22103,1998-01-10,7.6,1024,1,10.8,14.9,1.4,.5,.8,2.1,9.9,23.1
22103,1998-01-11,13,1018.6,1,10.1,14.7,3.8,1.4,3.5,6.8,18,75
22103,1998-01-12,5.8,1024.4,1,8.6,14.2,1.6,.5,1.1,2.8,9,10.2
22103,1998-01-13,6.8,1026.8,1,9.5,13.5,1.2,.4,.7,2.1,11.4,37.5
22103,1998-01-14,13.6,1018.6,1,11.6,13.7,3.8,1.4,2.3,6.8,19.8,75
22103,1998-01-15,14.5,1012.3,20,9.7,14.6,5.1,1.8,2.7,7.2,10.6,11.8
22103,1998-01-16,7.9,1022.6,27,9.6,14.8,2.3,.8,1.2,3.3,10.5,10.9
22103,1998-01-17,9.9,1018.1,68,11.3,14.7,2.3,.8,1,3.2,10.6,21.4
22103,1998-01-18,13.1,1018,63,4.2,13.9,3.1,1,1.3,4.2,25.8,75
22103,1998-01-19,10.1,1027.3,66,3.1,13.2,2.2,.8,1,3,14.3,75
22103,1998-01-20,7.5,1026.6,72,4.5,13.3,1.5,.5,.8,2.3,16,75
22103,1998-01-21,8.9,1028.4,59,4.2,12.5,1.8,.6,.8,2.5,25.3,75
22103,1998-01-22,4.4,1026.9,58,5.6,11.9,.6,.2,.3,.9,11.3,14.3
22103,1998-01-23,9.2,1022.4,66,4.4,13.2,1.5,.5,.7,2.1,32.4,75
22103,1998-01-24,13.4,1027.1,73,,11.8,,,,,,
22103,1998-01-25,9.5,1029.9,71,3.2,10.3,1.8,.6,.8,2.8,10,10.9
22103,1998-01-26,8.3,1029.2,60,5,10.5,1.4,.5,.6,2.1,10.2,10.9
22103,1998-01-27,6.6,1031.9,52,4.7,12.1,1,.3,.5,1.5,18.1,75
22103,1998-03-13,8.8,,,,,1.7,.6,.8,2.4,27.8,75
22103,1998-03-17,4.5,1027.3,5,5.9,12.4,.7,.2,.3,1,10.3,14.3
22103,1998-03-18,7.1,1028.4,5,5.9,12.5,1.6,.5,.7,2.1,17.1,37.5
22103,1998-03-19,11.7,1014.4,5,6,12.3,5.3,1.9,3.1,7.9,22.6,75
22103,1998-03-20,10.8,1020.7,5,5.7,11.6,3.2,1.1,1.9,9.5,9.8,10.9
22103,1998-03-21,8.7,1024.7,5,5.7,11.5,1.6,.5,.8,2.3,9.6,10.9
22103,1998-03-22,9.2,1031,5,5.7,11.2,1.6,.5,.8,3,26.3,75
22103,1998-03-23,6.6,1031.4,5,5.8,11.1,1.1,.3,.7,2.2,26.4,75
22103,1998-03-24,5.7,1026.4,5,5.9,11.4,.8,.2,.4,1.2,11.3,14.3
22103,1998-03-25,6,1025.9,5,6,11.4,.9,.3,.5,1.7,11.3,12.8
22103,1998-03-26,4.4,1024.4,5,6,11.6,1.1,.3,.9,2.3,10.3,11.8
22103,1998-03-27,7,1021.2,5,6,11.4,1.8,.6,.8,2.6,9.8,25
22103,1998-03-28,4.3,1023.8,5,6.2,13.7,.8,.3,.4,1.2,12.7,75
22103,1998-03-29,4.4,1026.9,3,6.4,12.5,.7,.2,.4,1.4,12.4,75
22103,1998-03-30,4.2,1024.4,2,6.5,12.6,.5,.1,.2,.6,10.1,10.9
22103,1998-03-31,4.3,1021,17,10,12.5,.7,.2,.6,1.8,9.8,10.9
22103,1998-04-01,13.6,1011.8,42,12.4,12.2,4.3,1.5,2.1,5.7,16,75
22103,1998-04-02,6.6,1023.6,2,6,12.2,2.2,.8,1.2,3.8,9.8,10.9
22103,1998-04-03,4.6,1028.3,2,6.1,13.2,.8,.3,.6,1.5,9.6,10.9
22103,1998-04-04,2.5,1026.7,49,10,12.8,.6,.2,.5,1.8,6.9,10.9
22103,1998-04-05,5.3,1018.8,99,14.9,12.1,1.9,.7,.9,3,21.1,75
22103,1998-04-06,6.6,1016.1,94,12.9,11.8,2.2,.7,1,2.9,12.8,75
22103,1998-04-07,3.8,1015.3,89,13.5,14.9,1.3,.4,.7,2.3,8.9,11.8
22103,1998-04-08,7.6,1011.2,94,13.2,14.4,1.6,.5,.7,2.3,19.2,75
22103,1998-04-09,5.7,1013.5,81,13.7,14.2,1.5,.5,.7,2.2,9.8,10.9
22103,1998-04-10,3.1,1017.8,91,14.9,16.3,.8,.2,.3,1.2,10.1,10.9
22103,1998-04-13,8.1,1006,98,13.3,14.5,2.6,.9,1.1,3.6,10.2,75
22103,1998-04-14,5.1,1011.1,94,12.2,13.7,1.5,.5,.9,2.1,5.8,10.9
22103,1998-04-15,3.9,1014.6,94,12.2,13.2,1,.3,.5,1.4,8.4,10.9
22103,1998-04-16,5.8,1014.1,91,13.8,12.8,1.3,.4,.6,2,10.4,11.8
22103,1998-04-17,4.1,1010.5,92,13.9,12.8,1.4,.5,.6,1.9,15.8,75
22103,1998-04-18,5.6,1014.2,93,12.2,12.4,1.4,.5,.6,1.9,10.1,11.8
22103,1998-04-19,3.2,1018.9,91,13.5,12.9,.7,.2,.3,1.2,10,10.9
22103,1998-04-20,2.5,1021.1,97,15.5,13.4,.9,.3,.3,1.3,10,10.9
22103,1998-04-21,3.7,1018.5,99,15.8,13.1,1.3,.4,.6,2.1,10.2,10.9
22103,1998-04-22,3.8,1012.4,100,16.6,14.4,1.9,.6,.7,2.4,10,11.8
22103,1998-04-23,3.2,1007.5,100,16.2,14.2,1.7,.6,.9,2.6,10.6,11.8
22103,1998-04-25,6.1,1011.2,93,13.3,13.4,2,.7,.8,2.8,9.6,10.9
22103,1998-04-26,6.3,1016.1,91,13.8,13.4,1.4,.4,.6,1.9,10,11.8
22103,1998-04-27,7.6,1018.7,90,14.7,14.8,1.8,.6,.7,2.5,10.1,30
22103,1998-04-28,5.2,1019.6,95,15.8,16.9,1.2,.4,.6,1.7,9.5,10.9
22103,1998-04-29,6.5,1018.7,91,17.1,15.5,1.3,.4,1.1,3.1,11.6,25
22103,1998-04-30,11.8,1018.7,87,16.1,14.9,3.1,1.1,1.3,3.8,22.2,75
22103,1998-05-01,6.9,1013.4,99,17.7,16.3,2.3,.8,1.2,3.9,29.6,75
22103,1998-05-02,9,1005.5,100,17.7,16.1,3.6,1.2,1.5,5,15.1,75
22103,1998-05-03,5.3,1014.1,96,15,15,1.8,.6,.9,2.8,7.3,18.8
22103,1998-05-04,7.9,1018.7,85,15.4,15,2,.7,.8,2.5,21.9,75
22103,1998-05-05,5.3,1019.2,91,15.6,15.1,1.3,.4,.6,2.1,9.5,11.8
22103,1998-05-06,4,1018.6,99,16.5,15.9,1,.3,.4,1.2,9.5,11.8
22103,1998-05-07,3,1016.6,100,18,17.5,.7,.2,.3,.9,9.2,10.2
22103,1998-05-08,3.8,1015.8,95,17.1,17.1,.7,.2,.3,1,9.6,11.8
22103,1998-05-09,2.4,1016.9,96,16.6,16.6,.9,.3,.4,1.3,9.3,11.8
22103,1998-05-10,9.8,1017,92,15.3,15.8,2.1,.7,1.5,4,24.4,75
22103,1998-05-11,12.6,1011,95,16.2,17.3,3.9,1.3,1.7,5.1,7.4,10.9
22103,1998-05-12,,1011.8,90,17.3,17.9,1.7,.5,.9,2.6,18.4,75
22103,1998-05-13,,1011.7,91,20.3,20.6,.7,.2,.5,1.7,9.9,11.8
22103,1998-05-14,5.7,1014.7,86,16.6,16.7,.8,.2,.6,1.8,9.6,10.2
22103,1998-05-15,,1011.7,92,18.6,18.4,1.9,.7,1,3,25.2,75
22103,1998-05-16,,1008.8,94,18.4,19.2,2.2,.7,1,3.4,21.2,75
22103,1998-05-17,,1014.3,92,15.9,16.5,1.1,.4,.6,1.9,13.5,75
22103,1998-05-18,,1013.8,92,18.9,19.2,.9,.3,.6,1.7,9.7,14.3
22103,1998-05-19,3.4,1014.6,96,17.4,18.3,.6,.2,.3,.8,9.7,14.3
22103,1998-05-20,1.9,1017.1,99,17.4,18,.5,.1,.2,.7,9.4,10.2
22103,1998-05-21,5.3,1017.7,81,18.6,17.3,.9,.3,.4,1.4,9.4,10.9
22103,1998-05-22,3.7,1016.2,94,18.3,18.1,.8,.3,.3,1,9.2,10.2
22103,1998-05-23,3.9,1013.7,92,19.1,18.4,.7,.2,.3,1.2,9.4,11.8
22103,1998-05-24,3.6,1006.9,92,18.7,18.1,.7,.2,.3,.8,9.5,10.2
