지점,일시,평균 풍속(m/s),평균기압(hPa),평균 상대습도(%),평균 기온(°C),평균 수온(°C),평균 최대 파고(m),평균 유의 파고(m),최고 유의 파고(m),최고 최대 파고(m),평균 파주기(sec),최고 파주기(sec)
22184,2014-01-15,,,,,,,,1,1.9,,4.3
22184,2014-01-16,4.2,1029.6,60,4.4,14.6,1,.6,.9,1.4,3.3,4.3
22184,2014-01-17,3.7,1026.9,59,6.1,14.8,.7,.4,.7,1.1,3.3,9.1
22184,2014-01-18,8.8,1028.5,66,5.8,14.9,2.8,1.8,2.7,4.2,5.3,7.1
22184,2014-01-19,3.8,1029.1,66,4.6,14.8,1.6,1,2,3.4,5.6,7.1
22184,2014-01-20,9,1022,64,7.6,14.6,3.3,2,2.9,4.8,5.9,7.1
22184,2014-01-21,9.5,1026.3,73,2.3,14.6,4.3,2.7,3.4,5.4,7.2,9.1
22184,2014-01-22,5.5,1028.8,61,3.6,14.7,2,1.2,1.9,3,5.1,7.1
22184,2014-01-23,2.4,1026.8,65,5.9,14.6,.7,.4,.6,1.1,4.5,7.1
22184,2014-01-24,8.5,,,,,2.4,1.5,2,3.5,5,6.4
22184,2014-01-25,,,,,,,,2.4,4.1,,7.1
22184,2014-01-26,7.4,1026.7,64,5.3,14.1,2.9,1.7,2.2,3.9,5.7,8
22184,2014-01-27,2.8,1025.1,58,8,14.5,1,.6,1.2,1.9,5.4,7.1
22184,2014-01-28,5.7,1024.2,69,8.8,14.1,1.6,1,1.3,2,4.3,5.3
22184,2014-01-29,2.8,1021.8,67,9.5,13.4,1,.6,1.1,1.8,5.7,8
22184,2014-01-30,,,,,,,,1.4,2.2,,4.9
22184,2014-01-31,,,,,,,,.7,1,,3.8
22184,2014-02-01,5.2,1015.1,87,14.2,14.1,1.2,.8,.9,1.5,4,4.9
22184,2014-02-02,4.6,1011.1,93,9.5,14.1,1.2,.7,.9,1.6,4.4,5.3
22184,2014-02-03,8.3,1015.4,69,5.3,14.1,3,1.9,3.2,4.9,5.5,8
22184,2014-02-04,9,1024.4,68,.5,14.2,3.6,2.3,3,4.6,6.1,8
22184,2014-02-05,5.6,1026.3,64,2.5,14.1,1.6,1,1.4,2.2,4.7,6.4
22184,2014-02-06,7.1,1022.3,80,5.2,14.1,2.2,1.4,1.8,3.4,5.2,7.1
22184,2014-02-07,7.6,1016.8,78,7.6,14,2.9,1.8,2.1,4.2,5.8,7.1
22184,2014-02-08,5.9,1016.9,78,5.8,14,2.7,1.7,2.1,3.8,6.1,8
22184,2014-02-09,7.7,1020.7,71,3.3,13.8,3,2,2.4,3.7,5.5,6.4
22184,2014-02-10,6.9,1022.8,74,3.5,13.7,3,1.9,2.2,3.6,6.4,8
22184,2014-02-11,6.3,1024.1,66,5.4,13.5,2.9,1.9,2.4,3.9,6.7,8
22184,2014-02-12,4.6,1026.3,67,5.4,13.5,1.8,1.2,1.6,2.4,5.8,7.1
22184,2014-02-16,,,,,,,,.8,1.2,,8
22184,2014-02-17,8.8,1023.4,76,8.5,13.3,2.3,1.5,2.2,3.6,5,7.1
22184,2014-02-18,,,,,,,,2.6,3.8,,9.1
22184,2014-02-19,5.1,1025.1,65,6,12.7,2.2,1.4,2,3.9,6.5,9.1
22184,2014-02-20,5.5,1028,62,5.2,12.3,1.7,1,1.3,2.1,4.7,6.4
22184,2014-02-21,5.1,1030.3,59,4,11.9,1.5,1,1.1,2,4.2,5.3
22184,2014-02-22,4.5,1030.3,57,5.7,12.3,1.2,.7,1.1,1.7,3.6,4.6
22184,2014-02-23,3.7,1029.9,59,7.6,12.8,1,.6,1,1.8,3.7,4.6
22184,2014-02-24,,1028.6,60,8.9,12.2,,,.5,1.3,,6.4
22184,2014-02-25,4,1027.2,67,10.6,11.5,.7,.4,.6,1.1,2.8,3.6
22184,2014-02-26,,,,,,,,2.2,3.3,,7.1
22184,2014-02-27,,,,,,,,1.1,1.6,,7.1
22184,2014-02-28,4.6,1021.1,82,8.4,12.1,1.4,.9,1.5,2.8,5,7.1
22184,2014-03-01,5.8,1017.9,87,8.1,13.1,1.7,1.1,1.3,2.2,4.8,6.4
22184,2014-03-02,7.3,1020.7,56,7.4,13,2,1.3,1.6,2.7,4.7,5.3
22184,2014-03-03,6.7,1026.2,50,8.6,13.1,1.7,1.1,1.5,2.4,4.6,5.8
22184,2014-03-04,,,,,,,,1.7,2.8,,7.1
22184,2014-03-05,,,,,,,,2.8,4.1,,7.1
22184,2014-03-06,6.4,1028.4,49,4.4,13.1,1.9,1.2,1.7,3,4.4,5.8
22184,2014-03-07,5.3,1030.9,49,4.7,13.1,1.5,.9,1.2,1.9,4,4.9
22184,2014-03-08,4.2,1026.4,53,5.2,13.1,.8,.5,.8,1.3,3.1,4.9
22184,2014-03-09,7,1023.6,63,6.5,13,2.1,1.4,2.1,2.9,4.7,5.8
22184,2014-03-10,4.9,1028.4,61,4.3,12.8,1.7,1.1,1.8,3,4.7,6.4
22184,2014-03-11,4.1,1027.2,62,7.9,12.8,1,.6,1.2,2.1,4.6,6.4
22184,2014-03-12,7,1015.1,86,12.1,12.6,1.9,1.2,1.5,2.4,4.9,5.8
22184,2014-03-13,,,,,,,,2.9,5.2,,7.1
22184,2014-03-14,5.8,1021.1,61,6,,2.2,1.4,2.1,3.6,5.5,8
22184,2014-03-15,7.6,1022.5,64,10.3,12.5,2.1,1.3,1.9,3,5.2,6.4
22184,2014-03-16,7.6,1022.9,80,12,12.5,2.2,1.5,2.1,3.2,5.6,6.4
22184,2014-03-17,7.3,1019.2,88,12.8,12.7,1.7,1.1,1.9,2.9,4.8,5.8
22184,2014-03-18,4.8,1016.5,90,10.2,12.1,1.7,1,1.5,2.6,4.9,6.4
22184,2014-03-19,7.3,1015.8,82,10.9,12.5,2.2,1.4,1.8,3.4,5.4,6.4
22184,2014-03-20,8.6,1016.9,64,8,12.5,3.2,2,3.4,5.3,5.8,7.1
22184,2014-03-21,7.4,1022.9,56,7.3,12.4,3.1,2,2.9,4.5,5.8,9.1
22184,2014-03-22,4.5,1025.8,65,9.8,12.5,1.3,.8,1.1,1.8,4.8,6.4
