일시,합계,부산,경인,충남,전북,전남,강원,경북,경남,제주
1970-12-31,69082,9412,20578,4522,11539,14725,,,8219,87
1975-12-31,120078,22099,21890,4670,17028,28842,1,732,24468,348
1980-12-31,119980,16896,24070,5915,13770,30332,,365,26511,2121
1985-12-31,127606,25094,25198,4566,14697,32378,,259,22472,2942
1986-12-31,107561,20210,20523,3384,11844,29305,,2,20074,2219
1987-12-31,113426,18315,20109,3778,12642,40841,,14,16047,1680
1988-12-31,104304,18324,16871,2334,10185,39195,,107,14574,2714
1989-12-31,102399,17796,15397,2914,12009,36107,,60,13066,5050
1990-12-31,103736,20078,14993,2122,9950,40135,,48,12533,3877
1991-12-31,95466,17788,12938,2292,10847,38347,,192,9563,3499
1992-12-31,87169,21277,9005,1785,7766,33884,,45,9698,3709
1993-12-31,58035,12458,5763,907,5282,24226,,,5708,3691
1994-12-31,101052,25569,8406,769,4079,41781,,150,13480,6818
1995-12-31,94596,32983,5906,491,2148,27770,,13,14786,10499
1996-12-31,74461,27766,2768,211,1620,20143,,,14728,7225
1997-12-31,67170,26398,2368,138,991,16056,,,13240,7979
1998-12-31,74851,30924,2814,657,2094,15626,,,13738,8998
1999-12-31,64434,29003,2671,794,1188,5321,,610,14621,10226
2000-12-31,81050,40528,1696,79,743,8656,,1,14348,14999
2001-12-31,79898,34447,1064,13,1159,6097,,75,20202,16841
2002-12-31,60172,21867,796,136,346,3281,,1,16138,17607
2003-12-31,62861,26650,808,12,675,6829,,,9598,18289
2004-12-31,66291,19485,293,30,450,16843,,4,12758,16428
2005-12-31,60086,19176,461,28,517,8873,,,9426,21605
2006-12-31,63739,24678,853,95,576,9865,,,8964,18708
2007-12-31,66029,29428,858,103,558,7831,,36,4532,22683
2008-12-31,72313,20687,920,72,1034,9024,,2,8566,32008
2009-12-31,85450,46661,508,105,455,8638,,12,8726,20345
2010-12-31,59242,23769,449,105,334,6800,,,7313,20472
2011-12-31,33101,7509,367,135,261,3930,,,3594,17305
2012-12-31,32526,4801,527,191,559,5000,,1,6102,15344
2013-12-31,47099,9752,411,209,1076,8365,,,10094,17192
2014-12-31,46853,7780,436,236,1329,5577,,7,14037,17451
2015-12-31,41049,12416,214,240,958,5819,,1,7543,13858
2016-12-31,32332,8424,192,281,1195,3806,1,351,4153,13929
2017-12-31,54481,11840,260,265,1569,5494,1,50,8743,26261
