일시,합계,부산,경인,충남,전북,전남,강원,경북,경남,제주
1970-12-31,54047,1077,154,81,165,7346,1470,1948,39996,1810
1975-12-31,175451,5934,545,3084,366,37216,6991,2167,115704,3444
1980-12-31,169657,4900,1842,5110,6382,44461,3758,5094,89413,8697
1985-12-31,143512,10915,991,4103,3364,31297,3787,7145,80936,974
1986-12-31,201642,17212,486,2545,3174,43604,9300,7269,116169,1883
1987-12-31,167729,12702,321,5421,2752,44050,1951,6659,92771,1102
1988-12-31,126112,8844,119,3541,3036,29551,2258,1737,73169,3857
1989-12-31,131855,9285,118,1515,2464,31468,1230,3921,81290,564
1990-12-31,130192,5898,114,1695,653,8428,4479,9144,97128,2653
1991-12-31,124513,5441,208,2316,547,92,261,5896,99512,10240
1992-12-31,116914,3452,169,2189,568,194,434,7375,99951,2582
1993-12-31,249209,7075,210,2455,2787,66497,354,6161,160823,2847
1994-12-31,193398,7289,690,515,2521,52041,1227,7909,120216,990
1995-12-31,230679,20361,125,2595,2406,54720,1450,9536,125666,13820
1996-12-31,237128,19722,90,2458,5626,84436,883,4316,105154,14443
1997-12-31,230911,23748,86,6010,4855,63897,63,3353,124458,4441
1998-12-31,249519,25901,39,9765,5739,51757,115,6203,139578,10422
1999-12-31,238934,22351,37,5286,8974,78471,173,3608,115672,4362
2000-12-31,201192,18258,37,10845,8425,58277,75,2845,101369,1061
2001-12-31,273927,57534,6,11134,7755,61064,105,2676,132380,1273
2002-12-31,236315,26444,8,11562,11609,61258,11,9031,115400,992
2003-12-31,250106,33543,8,4741,4849,52602,5,2483,143892,7983
2004-12-31,196646,24305,6,12586,7550,42669,43,2266,103275,3946
2005-12-31,249001,28875,63,10422,7360,45798,53,2867,136849,16714
2006-12-31,265346,31375,29,11474,4944,53791,14,2636,150785,10298
2007-12-31,221110,26846,10,11588,6999,45839,36,1483,122838,5471
2008-12-31,261532,27465,1,14939,9206,62813,6,3548,130675,12879
2009-12-31,203728,23320,7,18805,10835,33092,25,2537,107116,7991
2010-12-31,249636,28309,7,19372,7280,43475,26,2917,147572,678
2011-12-31,292730,48837,11,19671,7625,48278,84,5154,153809,9261
2012-12-31,221980,15078,8,18213,2410,41376,35,3052,131685,10124
2013-12-31,209102,14699,6,20050,2281,36933,41,646,127904,6542
2014-12-31,221171,15915,50,26879,3350,41901,60,225,131176,1614
2015-12-31,211574,15215,307,17272,2438,32715,63,259,140982,2324
2016-12-31,140958,14643,62,18030,1059,30542,26,149,73594,2852
2017-12-31,210943,14851,74,45916,1884,37138,54,2509,102925,5593
