일시,합계,부산,경인,충남,전북,전남,강원,경북,경남,제주
1970-12-31,72142,3101,58,89,5,734,42663,25259,225,8
1975-12-31,37238,132,287,3305,18558,14512,439,5,,
1980-12-31,48490,3676,721,162,1093,309,23464,17721,1148,196
1985-12-31,42879,3914,1231,3375,2098,2882,11246,14186,2483,1464
1986-12-31,37214,5104,1153,2462,1491,2704,9568,10013,2341,2378
1987-12-31,60930,4329,2042,3913,2939,5291,17074,20846,2394,2102
1988-12-31,49525,6664,1569,2222,1494,4612,13389,15677,2049,1849
1989-12-31,65885,10399,922,2090,1337,2724,19735,22553,4710,1415
1990-12-31,74172,9264,631,1903,1698,4182,21617,27801,5324,1752
1991-12-31,107607,17808,1089,2977,1703,3826,27325,38928,11904,2047
1992-12-31,136928,36269,260,620,1100,4812,29503,42019,20185,2160
1993-12-31,219467,88946,420,104,888,5849,36265,57856,27215,1924
1994-12-31,189572,76007,781,557,919,3073,32730,54936,18816,1753
1995-12-31,200897,84059,428,502,909,2321,24960,67223,19447,1048
1996-12-31,252618,107448,168,292,647,4757,35673,73385,29419,829
1997-12-31,224959,89622,236,200,802,4990,44862,62770,19917,1560
1998-12-31,163016,61945,674,1010,1492,4358,24807,53199,14592,939
1999-12-31,249991,111099,467,2522,1305,1521,27951,86072,17810,1244
2000-12-31,226309,110837,307,968,605,911,22182,71163,18552,784
2001-12-31,225616,98824,581,2205,1088,1883,27619,73493,19380,543
2002-12-31,226656,117088,842,3096,17,2143,20500,67467,14652,851
2003-12-31,233254,101701,1847,2457,416,2022,16996,84080,23015,720
2004-12-31,212760,79771,1193,4232,550,2343,22243,85401,14876,2151
2005-12-31,189126,62705,1636,7814,300,2348,30015,67594,15066,1648
2006-12-31,197084,70707,2406,8156,112,3283,23792,68364,17835,2429
2007-12-31,174479,53553,200,7486,95,2027,27350,72356,8688,2724
2008-12-31,186160,56850,152,1848,19,752,25378,91416,8808,937
2009-12-31,189160,52916,65,3047,69,1971,24921,92872,12357,942
2010-12-31,159130,59018,261,867,867,2117,16705,66630,11241,1424
2011-12-31,171643,69980,124,2192,406,1185,14343,70864,10255,2294
2012-12-31,181408,81881,59,695,36,2003,10746,73952,9954,2083
2013-12-31,154555,62412,66,992,438,4387,14568,63387,6595,1710
2014-12-31,163886,83981,598,1857,28,1302,9462,59734,6304,620
2015-12-31,155743,72764,98,3214,382,6285,7641,54684,9384,1292
2016-12-31,121691,52510,29,1067,795,6208,6745,44203,9405,730
2017-12-31,87024,31376,23,2018,609,10307,5073,27427,9356,835
